uuid,type,city,street,date,severity
27050022,none,quilicura,san luis,2025-04-27 21:03:24,5
1205036828,none,renca,olimpo,2025-04-09 02:38:19,5
1316996746,none,conchali,bartolome mandujano,2025-04-08 07:59:03,5
1819200932,none,pudahuel,puerto madero,2025-04-23 21:50:26,5
29131888,none,la granja,av. santa rosa,2025-04-27 21:42:03,5
29522192,none,maipu,pasaje mecanico torres,2025-04-27 21:48:41,5
29564330,none,lo barnechea,san josemaria escriva de balaguer norte,2025-04-27 21:50:01,5
29549054,none,san miguel,gran avenida jose miguel carrera,2025-04-27 21:50:00,5
1207643950,none,providencia,retorno a providencia,2025-04-21 21:41:45,5
29484494,none,quilicura,av. manuel antonio matta,2025-04-27 21:48:39,5
29116886,none,san bernardo,calderon de la barca,2025-04-27 21:42:02,5
775455246,none,pudahuel,puerto madero,2025-04-17 15:43:42,5
28381546,none,la florida,av. americo vespucio,2025-04-27 21:28:42,5
1262010120,none,conchali,av. independencia,2025-04-22 05:46:51,5
28927446,none,maipu,av. 3 poniente,2025-04-27 21:38:03,5
29355474,none,la reina,av. larrain,2025-04-27 21:46:00,5
594729880,none,conchali,av. independencia,2025-04-16 18:42:29,5
266259410,none,cerro navia,vicuña rozas,2025-04-27 14:54:30,5
624494848,none,la cisterna,av. ossa,2025-04-18 05:39:11,5
27152806,none,pudahuel,paso superior enea,2025-04-27 21:04:45,5
29166022,none,batuco,los guerreros,2025-04-27 21:43:22,5
52582146,none,cerro navia,vicuña rozas,2025-04-02 09:04:31,5
573669956,none,maipu,longitudinal,2025-04-03 14:37:03,5
29313482,none,quilicura,filomena garate,2025-04-27 21:45:59,5
11079764,small,las condes,av. francisco bilbao,2025-04-27 17:08:38,5
28684714,none,peñalolen,av. americo vespucio,2025-04-27 21:34:03,5
573669958,none,maipu,longitudinal,2025-04-03 14:37:03,5
29564410,none,quinta normal,catamarca,2025-04-27 21:50:01,5
1183278980,none,conchali,av. independencia,2025-03-12 10:42:37,5
29484536,none,puente alto,av. sargento menadier,2025-04-27 21:48:39,5
1640775094,none,pudahuel,av. san pablo,2025-02-26 19:13:07,5
29541818,none,puente alto,av. el peñon,2025-04-27 21:50:01,5
28677292,none,san bernardo,av. carlos condell,2025-04-27 21:34:04,5
69696550,none,maipu,longitudinal,2025-04-25 22:55:53,5
28461558,none,la pintana,av. la serena,2025-04-27 21:30:03,5
29449702,none,puente alto,9 de agosto,2025-04-27 21:48:39,5
29564238,none,estacion central,av. padre alberto hurtado,2025-04-27 21:50:00,5
29518300,none,providencia,almirante pastene,2025-04-27 21:48:41,5
29590946,none,las condes,rubens,2025-04-27 21:50:02,5
29192684,none,estacion central,corredor de buses,2025-04-27 21:43:21,5
29518052,none,la florida,general arriagada,2025-04-27 21:49:59,5
29590992,none,recoleta,av. guanaco,2025-04-27 21:50:03,5
29488450,none,san bernardo,maestranza,2025-04-27 21:48:40,5
29003262,none,recoleta,av. los zapadores,2025-04-27 21:39:23,5
28783774,none,san bernardo,baquedano,2025-04-27 21:35:23,5
26835382,none,san bernardo,av. colon norte,2025-04-27 20:58:05,5
29461830,none,san bernardo,abraham prado marin,2025-04-27 21:48:41,5
27681058,none,estacion central,san alberto hurtado,2025-04-27 21:15:21,5
87717894,none,maipu,av. hugo bravo,2025-04-02 12:29:12,5
29541832,none,las condes,kennedy lateral,2025-04-27 21:50:01,5
1847920232,none,pudahuel,deposito express pudahuel,2025-04-24 02:32:04,5
29241846,none,renca,av. jose manuel balmaceda,2025-04-27 21:44:40,5
1261973402,none,maipu,av. hugo bravo,2025-04-22 05:46:51,5
115310330,none,conchali,av. independencia,2025-04-01 07:22:07,5
121738196,none,padre hurtado,av. santa leonor,2024-12-10 09:56:14,5
27779378,none,la cisterna,av. goycolea,2025-04-27 21:16:42,5
224786486,none,"malloco, peñaflor",los aromos,2025-04-27 02:28:27,5
29549024,none,lo espejo,av. santa anita,2025-04-27 21:50:00,5
29499738,none,santiago,herrera,2025-04-27 21:48:40,5
29268466,none,pedro aguirre cerda,,2025-04-27 21:44:41,5
214837654,none,la cisterna,ernesto riquelme,2025-04-16 08:00:01,5
29317622,none,santiago,lord cochrane,2025-04-27 21:46:01,5
28151088,none,vitacura,av. alonso de cordova,2025-04-27 21:23:23,5
131877696,none,"malloco, peñaflor",los aromos,2025-04-15 17:47:10,5
29556898,none,conchali,av. los zapadores,2025-04-27 21:50:01,5
30203338,none,cerro navia,vicuña rozas,2025-04-12 20:42:41,5
28642784,none,el manzano,camino al alfalfal,2025-04-27 21:32:46,5
224767306,none,ñuñoa,romeo salinas,2025-04-27 02:28:27,5
29586806,none,puente alto,av. eyzaguirre,2025-04-27 21:50:00,5
28578200,none,las condes,rosario norte,2025-04-27 21:31:25,5
29348124,none,puente alto,av. sargento menadier,2025-04-27 21:46:00,5
1160246598,none,conchali,quilicura,2025-03-26 17:10:49,5
1224403346,none,conchali,av. independencia,2025-03-27 02:41:30,5
29473240,none,maipu,av. presidente john kennedy,2025-04-27 21:48:40,5
26324258,none,vitacura,los conquistadores / tunel san cristobal,2025-04-27 20:48:49,5
29344234,none,ñuñoa,av. irarrazaval,2025-04-27 21:46:00,5
1262014026,none,conchali,av. independencia,2025-04-22 05:46:52,5
28298748,none,maipu,av. pajaritos,2025-04-27 21:26:04,5
224767446,none,"malloco, peñaflor",los aromos,2025-04-27 02:28:28,5
29590896,none,la cisterna,fuenzalida urrejola,2025-04-27 21:50:01,5
224771298,none,"malloco, peñaflor",los aromos,2025-04-27 02:28:28,5
573568570,none,maipu,longitudinal,2025-04-03 14:37:03,5
620606626,none,maipu,longitudinal,2025-04-18 04:02:38,5
29511064,none,santiago,garcia reyes,2025-04-27 21:48:40,5
28809594,none,providencia,av. pedro de valdivia,2025-04-27 21:36:43,5
29412846,none,puente alto,av. camilo henriquez lateral,2025-04-27 21:47:20,5
28889358,none,peñalolen,av. tobalaba,2025-04-27 21:38:03,5
224767440,none,"malloco, peñaflor",los olmos,2025-04-27 02:28:28,5
29143076,none,la cisterna,nueva los robles,2025-04-27 21:42:01,5
27148722,none,pudahuel,av. americo vespucio,2025-04-27 21:04:45,5
1316610756,none,pudahuel,av. san pablo,2025-04-08 07:55:50,5
256456470,none,cerro navia,vicuña rozas,2025-02-19 02:38:30,5
1248208838,none,pudahuel,deposito express pudahuel,2025-03-12 16:54:20,5
573568626,none,maipu,longitudinal,2025-04-03 14:37:03,5
29499658,none,recoleta,av. los zapadores,2025-04-27 21:48:39,5
29143298,none,la florida,corredor transporte publico vicuña mackenna,2025-04-27 21:42:03,5
1317436208,none,conchali,av. independencia,2025-04-08 08:02:48,5
29128126,none,puente alto,av. jorge ross ossa,2025-04-27 21:42:03,5
1160021326,none,pudahuel,deposito express pudahuel,2025-03-25 06:50:59,5
29495802,none,renca,estrecho de magallanes,2025-04-27 21:48:39,5
29435162,none,vitacura,camino el canal,2025-04-27 21:47:19,5
153195776,none,conchali,av. independencia,2025-04-01 11:39:41,5
224729374,none,"malloco, peñaflor",los aromos,2025-04-27 02:28:27,5
53276510,none,conchali,av. independencia,2025-04-13 02:29:35,5
29480970,none,la cisterna,san miguel,2025-04-27 21:48:40,5
29128098,none,independencia,colon,2025-04-27 21:42:03,5
52586232,none,cerro navia,vicuña rozas,2025-03-19 08:24:34,5
0ccd5f1f-76c5-46be-bd88-e6550e8dc46d,police,la granja,av. lo ovalle,2025-04-27 21:44:09,
f35d4177-ca17-4644-a20f-e3425d651178,road_closed,"malloco, peñaflor",los aromos,2025-04-15 17:44:42,
f29216ec-7dad-46d0-a021-53847e7da331,road_closed,maipu,longitudinal,2025-04-18 04:00:00,
bba9542e-799b-4c6d-86d9-d9e1d2f0c8b7,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
289e955c-3155-4bee-a6db-bf568ab2a130,road_closed,conchali,av. independencia,2024-06-06 13:26:54,
48bd438c-506f-46af-bd61-1826036178b4,hazard,las condes,charles hamilton,2025-04-27 21:29:47,
29b0f5bd-149d-48e8-b5ce-4d31d148b423,road_closed,peñalolen,av. tobalaba,2025-04-27 20:50:25,
7a712d8d-e030-4abf-9003-11aafda4ced0,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
69807e89-c7cf-46ea-b3a1-049e66796d6a,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
9b65ba81-04b0-4b93-9160-19d97152f0ce,hazard,maipu,av. lo espejo,2025-04-27 21:38:24,
92141e6d-cfc7-4244-9e78-6042b17a3a56,jam,vitacura,av. alonso de cordova,2025-04-27 21:44:10,
7e809272-cc2d-4619-9a6f-1e481a4fc844,hazard,la florida,av. departamental,2025-04-27 21:48:03,
aed05f1a-2737-4651-8948-15d891f13140,road_closed,maipu,longitudinal,2025-04-03 14:35:02,
42a73f63-8eb8-46fa-a30d-97abded5bbc7,road_closed,cerro navia,vicuña rozas,2025-01-20 04:44:57,
c595d11c-9bbf-4f2b-a7be-06da1bc051d7,road_closed,maipu,longitudinal,2025-04-03 14:35:02,
597a722b-4a0d-493e-b6b2-31210b7dd7bf,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
474655c7-f26b-4e01-98cd-73b79b5329ae,police,santiago,nataniel cox,2025-04-27 20:55:50,
680ddf60-ec4b-403d-8640-163d9c490b81,road_closed,maipu,av. hugo bravo,2025-04-18 03:59:40,
